"","species"
"1","Alsophila tahitensis"
"2","Bolbitis lonchophora"
"3","Callistopteris apiifolia"
"4","Calymmodon orientalis"
"5","Deparia petersenii"
"6","Hymenophyllum digitatum"
"7","Hymenophyllum polyanthos"
"8","Loxogramme parksii"
"9","Prosaptia contigua"
"10","Ptisana salicina"
"11","Sphaeropteris medullaris"
"12","Sphaerostephanos subpectinatus"
"13","Vaginularia paradoxa"
"14","Abrodictyum dentatum"
"15","Angiopteris evecta"
"16","Diplazium grantii"
"17","Hymenophyllum flabellatum"
"18","Lindsaea repens"
"19","Microsorum membranifolium"
"20","Polyphlebium borbonicum"
"21","Dryopteris dicksonioides"
"22","Elaphoglossum samoense"
"23","Asplenium caudatum"
"24","Asplenium contiguum"
"25","Asplenium robustum"
"26","Blechnum raiateense"
"27","Elaphoglossum savaiense"
"28","Lastreopsis pacifica"
"29","Oreogrammitis subspathulata"
"30","Acrophorus raiateensis"
"31","Blechnum pacificum"
"32","Blechnum vulcanicum"
"33","Dasygrammitis purpurascens"
"34","Microsorum powellii"
"35","Selliguea plantaginea"
"36","Adiantum raddianum"
"37","Christella dentata"
"38","Ctenitis sciaphila"
"39","Diplazium harpeodes"
"40","Pneumatopteris mesocarpa"
"41","Lomariopsis brackenridgei"
"42","Polyphlebium endlicherianum"
"43","Antrophyum plantagineum"
"44","Antrophyum reticulatum"
"45","Lygodium reticulatum"
"46","Adiantum trapeziforme"
"47","Crepidomanes kurzii"
"48","Didymoglossum tahitense"
"49","Lomagramma tahitensis"
"50","Archigrammitis tahitensis"
"51","Davallia solida"
"52","Hymenophyllum javanicum"
"53","Vandenboschia maxima"
"54","Crepidomanes humile"
"55","Hymenophyllum braithwaitei"
"56","Blechnum orientale"
"57","Ctenopterella blechnoides"
"58","Dicranopteris linearis"
"59","Hymenophyllum pallidum"
"60","Arthropteris palisotii"
"61","Asplenium australasicum"
"62","Teratophyllum wilkesianum"
"63","Lindsaea propinqua"
"64","Grammitis marginelloides"
"65","Hymenophyllum multifidum"
"66","Pleurosoriopsis makinoi"
"67","Hymenophyllum wrightii"
"68","Crepidomanes schmidtianum"
"69","Callistopteris baldwinii"
"70","Hymenophyllum tayloriae"
"71","Hymenophyllum barbatum"
"72","Asplenium tenuicaule"
"73","Polystichum polyblepharon"
"74","Woodsia manchuriensis"
"75","Hymenophyllum badium"
"76","Loxogramme grammitoides"
"77","Thelypteris decursivepinnata"
"78","Athyrium niponicum"
"79","Athyrium yokoscense"
"80","Osmunda banksiifolia"
"81","Sphenomeris biflora"
"82","Thelypteris liukiuensis"
"83","Lindsaea merrillii"
"84","Lindsaea merrillii subsp. yaeyamensis"
"85","Abrodictyum obscurum"
"86","Dryopteris sordidipes"
"87","Cyathea podophylla"
"88","Cyathea lepifera"
"89","Deparia lancea"
"90","Ctenitis subglandulosa"
"91","Haplopteris capillaris"
"92","Callistopteris baueriana"
"93","Haploteris heterophylla"
"94","Lomariopsis kunzeana"
"95","Lomariopsis boninensis"
"96","Lomariopsis moorei"
"97","Leptochilus pteropus"
"98","Polystichum tripteron"
"99","Didymoglossum petersii"
"100","Grammitis nimbata"
"101","Trichomanes speciosum"
"102","Antrophyum obovatum"
"103","Crepidomanes intricatum"
"104","Vittaria appalachiana"
